a 啊
baomixing 保密性
baomu 保姆
baonuan 保暖
baonuansiyinyu 饱暖思淫欲
baonuewudao 暴虐无道
baopi 包皮
baoqian 抱歉
baoquhaoduo 暴取豪夺
baorong 包容
baoshanbiane 褒善贬恶
baoshang 报上
baoshangqu 报上去
baoshankonghui 宝山空回
baoshi 宝石
baoshinuanyi 饱食暖衣
baoshizhongri 饱食终日
baoshou 保守
baoshouxing 保守性
baosiliupi 豹死留皮
baotai 胞胎
baotan 报摊
baotazhen 宝塔镇
baotiantianwu 暴殄天物
baotiaorulei 暴跳如雷
baotou 爆头
baotoudaku 抱头大哭
baotouhuanyan 豹头环眼
baotoushucuan 抱头鼠窜
baotuquan 趵突泉
baowanzhaigua 抱蔓摘瓜
baowei 保卫
baowengchuguan 抱瓮出灌
baoxian 保险
baoxiangongsi 保险公司
baoxiansi 保险丝
baoxiao 报销
baoxinjiuhuo 抱薪救火
baoxinwan 保心丸
baoxiu 保修
baoxiurenchi 包羞忍耻
baoxuezhishi 饱学之士
baoyang 保养
baoyi 褒义
baoyilaoquan 饱以老拳
baoyiweiguan 褒衣危冠
baoyou 保佑
baoyu 鲍鱼 宝玉
baoyuan 抱怨
baoyuanxuechi 抱怨雪耻
baoyue 包月
baoyuzhisi 鲍鱼之肆
baozha 爆炸
baozhang 保障 暴涨
baozhe 抱着
baozheng 保证
baozhi 报纸
baozhong 保重
baozhu 抱住 保住
baozhushibing 宝珠市饼
baozi 包子
baozinongsun 抱子弄孙
bapi 扒皮
bapo 八婆
baqi 霸气
baqian 八千
baqiansuanhou 巴前算后
baqianzhihou 跋前踬后
basailuola 巴塞罗拉
basanlansi 巴三览四
bashanchaohai 拔山超海
bashangaishi 拔山盖世
bashangangding 拔山扛鼎
bashansheshui 跋山涉水
bashanshushui 巴山蜀水
bashanyeyu 巴山夜雨
bashi 八十
bashidewu 拔十得五
bashuxungen 拔树寻根
basuchizhai 把素持斋
batai 吧台
batou 把头
batoutannao 巴头探脑
bawan 把玩
bawang 霸王
bawangbieji 霸王别姬
bawangfengyue 霸王风月
bawangtiaokuan 霸王条款
bawanmaizhai 百万买宅，千万买邻
bawanwuyan 把玩无厌
bawo 把握
baxi 把戏
baxia 把下 拔下
baxianguohaiong 八仙过海，各显神通
baxinlingyi 拔新领异
baxiu 罢休
baxizhuoxiang 拔犀擢象
bayindiezou 八音迭奏
bazhaishangsheng 拔宅上升
bazhenyushi 八珍玉食
bazhiyizhi 拔帜易帜
bazi 八字 靶子
bazidakai 八字打开
bazimeiyipie 八字没一撇
bazimeiyouyipie 八字没有一瞥
bei 被 呗 倍 北 背
bei1 卑 埤 悲 杯 碑 背 萆 陂 鹎
bei4 倍 呗 备 孛 悖 惫 焙 狈 碚 背
bei4 臂 蓓 被 褙 贝 辈 邶 鐾 钡 鞴
beibao 背包
beibei 贝贝
beibenqumo 背本趋末
beibi 被逼
beibian 北边
beibiwochuo 卑鄙龌龊
beibiwuchi 卑鄙无耻
beibuzisheng 悲不自胜
beican 悲惨
beichangxinku 备尝辛苦
beichaoxian 北朝鲜
beichengjieyi 背城借一
beichouchuiti 悲愁垂涕
beicizhongbi 卑辞重币
beida 北大
beidamen 北大门
beidao 被盗
beidaoerchi 背道而驰
beidong 被动
beidou 北斗
beidouzhizun 北斗之尊
beiduofen 贝多芬
beiduolifen 备多力分
beienwangyi 背恩忘义
beier 贝尔
beierbuyong 备而不用
beifang 北方
beifanglao 北方佬
beifangren 北方人
beifangzhongxin 北方中心
beifei 北非
beifen 备份
beifeng 被封
beifengzhilian 北风之恋
beifentianying 悲愤填膺
beige 杯葛
beigongjiaocuo 杯觥交错
beigongquxi 卑躬屈膝
beigongsheying 杯弓蛇影
beiguan 悲观
beiguang 背光
beiguangdeng 背光灯
beihang 北航
beihou 背后
beihuanlihe 悲欢离合
beihubingliang 陂湖禀量
beihuyou 被忽悠
beijing 北京 背景
beijingdaxue 北京大学
beijinghuanyingnin 北京欢迎您
beijinglixiang 背井离乡
beijingren 北京人
beijingshijian 北京时间
beijingtupian 背景图片
beijiugemao 杯酒戈矛
beijiushibingquan 杯酒释兵权
beijiuyanhuan 杯酒言欢
beiju 悲剧
beike 贝克
beilihoubi 卑礼厚币
beilu 北路
beima 被骂
beimei 北美
beimen 北门
beimengbaiyue 背盟败约
beimensuoyao 北门锁钥
beimian 背面
beimianchengchen 北面称臣
beinuo 贝诺
beipan 背叛
beipanlangji 杯盘狼藉
beiping 北平
beipo 被迫
beiqi 悲戚
beiribingxing 倍日并行
beirubeichu 悖入悖出
beishang 悲伤
beishanqilou 背山起楼
beishi 北市
beishida 北师大
beishuichexin 杯水车薪
beishuiyizhan 背水一战
beisoushima 北叟失马
beitianminren 悲天悯人
beiwai 北外
beiwanglu 备忘录
beiwei 卑微
beixijiaoji 悲喜交集
beixinqiyi 背信弃义
beiying 背影
beiyong 备用
beiyuanshichu 北辕适楚
beiyue 北约
beizhe 背着
beizhiwushengaolun 卑之无甚高论
beizhongwu 杯中物
beizhu 备注
beizi 杯子 被子 辈子
ben 笨 本
ben1 奔 贲 锛
ben3 本 畚 苯
ben4 坌 夯 奔 笨
benali 本阿里
benban 本版
benbao 本报
benbaoxun 本报讯
benben 笨笨
benci 本次
bendan 笨蛋
bendi 本地
bendian 本店
bendiban 本地版
bendilianjie 本地连接
bendiren 本地人
benfang 奔放
benfu 奔赴
beng1 嘣 崩 绷
beng4 泵 甏 蚌 蹦 迸
bengbengtiaotiao 蹦蹦跳跳
bengji 蹦极
bengkui 崩溃
benhang 本行
benji 本机
benke 本科
benlai 本来
benlaimianmu 本来面目
benling 本领
benming 本命
benmingnian 本命年
benmodaozhi 本末倒置
benneng 本能
benniaoxianfei 笨鸟先飞
benpao 奔跑
benqian 本钱
benqun 本群
benren 本人
benshen 本身
benshendouyou 本身都有
benshi 本事 本市
bensi 笨死
bentongmoyi 本同末异
benxiang 本想
benxiangbilu 本相毕露
benxiao 本校
benxiaoliwei 本小利微
benxing 本性
benxingnanyi 本性难移
benyi 本意
benyijuechen 奔逸绝尘
benzhan 本站
benzhishang 本质上
benzhong 笨重
benzhu 笨猪
benzhuo 笨拙
benzouxianggao 奔走相告
benzouzuanying 奔走钻营
benzuizhuoshe 笨嘴拙舌
bi 比 逼
bi1 屄 逼
bi2 荸 鼻
bi3 俾 匕 吡 妣 彼 比 秕 笔 舭 鄙
bi4 哔 埤 壁 婢 嬖 币 庇 庳 弊 弼
bi4 必 愎 敝 毕 毖 毙 滗 濞 狴 璧
bi4 畀 痹 碧 筚 箅 篦 臂 芘 荜 萆
bi4 蓖 蔽 薜 裨 襞 贲 跸 辟 避 铋
bi4 闭 陛 髀
bian 辨 变 遍 扁 边
bian1 煸 砭 笾 编 蝙 边 鞭 飚 鳊
bian3 匾 扁 碥 窆 褊 贬
bian4 便 卞 变 弁 忭 汴 缏 苄 辨 辩 辫 遍
bianbenjiali 变本加厉
bianbie 辨别
bianbo 辩驳
biancaiwuai 辩才无碍
bianchangmoji 鞭长莫及
bianchen 编程
biancheng 变成 编程
bianchui 边陲
bianciqiaoshuo 便辞巧说
bianda 变大
biandang 便当
biande 变得
biandi 遍地
biandikaihua 遍地开花
biandong 变动
bianfa 变法
biangu 变故
bianguyichang 变古易常
bianhao 编号 变好
bianhu 辩护
bianhua 变化
bianhuaduoduan 变化多端
bianhuan 变换
bianhuanmoce 变幻莫测
bianhuanwuchang 变幻无常
bianhuawuchang 变化无常
bianhuawuqiong 变化无穷
bianji 编辑
bianjiang 边疆
bianjiao 边角
bianjiasu 变加速
bianjie 便捷
bianjing 边境
bianjiqi 编辑器
bianjiwangye 编辑网页
bianlao 变老
bianli 便利 遍历
bianliang 变量
bianlun 辩论
bianma 编码
bianman 变慢
bianmaqi 编码器
bianmaqu 编码区
bianmian 边面
bianminfuwuzhongxin 便民服务中心
bianni 扁你
bianpijinli 鞭辟近里
bianpiruli 鞭辟入里
bianqian 便签
bianren 辨认
bianse 变色
bianseyirong 变色易容
biansezhiyan 变色之言
bianshang 边上
bianshengzhouye 变生肘腋
bianshi 鞭尸
biansuchilun 变速齿轮
biantai 变态
bianti 变体
biantilinshang 遍体鳞伤
biantong 变通
bianwei 变为
bianweie 变为呃
bianweiweian 变危为安
bianxiang 变相
bianxie 编写
bianxieban 便携版
bianxing 变形 变性
bianyang 变样
bianyi 编译 变异
bianyiban 编译版
bianyiqi 编译器
bianyixingshi 便宜行事
bianyu 便于
bianyuan 边缘
bianzhi 编制 贬值
bianzi 辫子 鞭子
biao1 彪 杓 标 瘭 膘 镖 镳 飑 飙 骠 髟
biao3 婊 表 裱
biaobai 表白
biaobang 标榜
biaobingqiangu 彪炳千古
biaoche 飚车
biaoda 表达
biaodao 表到
biaodashi 表达式
biaodi 表弟 标的
biaodian 标点
biaodigupiao 标的股票
biaoge 表格 表哥
biaogetai 表个态
biaohan 彪悍
biaohao 标号
biaoji 标记
biaojian 标间
biaojie 表姐
biaojudianzhi 飙举电至
biaoli 表里
biaolibuyi 表里不一
biaoliruyi 表里如一
biaolishanhe 表里山河
biaolishoudi 表里受敌
biaomei 表妹
biaomian 表面
biaomianwenzhang 表面文章
biaoming 表明 标明
biaopei 标配
biaoqian 标签
biaoqianlan 标签栏
biaoqianye 标签页
biaoqing 表情
biaoshang 标上
biaosheng 飙升
biaoshi 表示 标识
biaotai 表态
biaoti 标题
biaotidang 标题党
biaotilan 标题栏
biaotongfayi 标同伐异
biaoxian 表现
biaoxianchu 表现出
biaoxiang 表象
biaoxing 表型
biaoxinliyi 标新立异
biaoxiongdi 表兄弟
biaoyan 表演
biaoyu 标语
biaozheng 表征
biaozhi 标志
biaozhu 标注
biaozhuangburulizhuang 表壮不如里壮
biaozhun 标准
biaozhuncanshu 标准参数
biaozhuncha 标准差
